PREFIXO: ;E3-003
NOME DO POSTO: ;AGUA BRANCA
MUNICÍPIO: ;SAO PAULO
CURSO D'ÁGUA: ;TIETE,R
LATITUDE: ;23°30'57"
LONGITUDE: ;46°40'51"
 
Obs: valores com --- representam dados inexistentes.
 
Dados de chuva (mm)
 
Mês/Ano;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;Chuva máxima;Chuva total
  03/1939;  0,0;  2,2;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 22,0;  0,0;  4,8; 66,0; 40,0;  0,0;  0,0;  2,9;  0,8;  4,6;  2,8;  0,0;  4,9;  1,5;  0,0; 37,9;  7,8;  0,0;  0,0;6,1;5,3;3,5;66,0;213,4
  05/1939;  0,0;  0,0;  0,0;  0,0; 11,0;  0,2;  0,0;  0,0; 31,3;  0,8;  0,0;  7,8;  0,0;  2,3;  2,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  1,5;  1,5;  0,0;5,1;12,4;6,2;31,3;82,6
  01/1940;  0,9;  0,0; 12,0;  0,0;  0,0;  0,0; 16,0; 34,3; 48,0;  2,1; 22,6; 18,6; 20,9;  1,5;  0,0;  0,0;  0,0;  0,0;  3,2; 25,6;  0,0;  0,0;  0,5;  0,0;  0,5;  3,5;  3,1;  0,0;0,0;0,0;1,7;48,0;215,0
  02/1940; 49,4;  2,9; 61,5; 23,6;  0,2; 19,4; 15,0;  6,1;  0,0;  0,0;  0,0;  6,5; 41,0; 41,5;  7,3; 18,1;  0,0;  0,1; 29,5; 24,5;  9,4; 17,8;  2,2;  5,8;  2,7;  0,0;  0,0;  0,0;0,0;---;---;61,5;384,5
  03/1940;  0,0;  0,0;  1,9;  0,0;  0,0;  0,0;  0,0;  0,0; 33,2; 15,7;  8,6;  2,0;  0,0;  0,3;  1,7;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 10,8;  5,0;  0,0;  0,0;30,5;0,6;0,2;33,2;110,5
  04/1940;  0,0;  0,0;  0,0;  0,0;  0,4;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,8;  7,2;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  8,5;  0,0;  0,0;5,0;0,2;---;8,5;22,1
  05/1940;  0,0; 14,4;  4,9;  2,9;  0,0;  0,0;  2,9;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,3;  0,0;  2,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;14,4;27,9
  06/1940;  9,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  2,3;  0,0;  0,0;  0,0;  0,0;0,0;0,0;---;9,0;11,6
  07/1940;  1,6;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,8;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;0,0;0,0;0,0;3,8;5,4
  08/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  9,5;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,2;  1,6;  0,0;0,0;0,0;0,0;9,5;14,3
  09/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,8; 24,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  3,1;  1,3;  0,0;  6,9;  8,8;  0,3;  0,0;  0,0;0,0;0,0;---;24,0;45,2
  10/1940;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  6,5;  0,0; 21,1; 15,0; 10,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,1;  0,0; 18,2;  0,0;  0,0;  3,8;  0,3;  4,5;  4,3; 43,3;4,0;3,5;0,0;43,3;134,7
  11/1940;  0,0;  0,0;  0,0;  0,8;  1,5;  0,0;  0,0;  0,0;  0,5;  0,0;  4,8;  0,8;  2,3;  3,1;  4,4;  1,0;  3,1;  0,1;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 28,7;  7,8; 14,5;0,0;0,0;---;28,7;73,4
  12/1940;  0,0;  0,5;  0,0; 65,3;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0;  0,0; 41,5;  0,0;  0,0; 12,6;  0,7;  0,6;  0,8;  2,3;  0,0;  7,1;  0,3;  3,4;  0,0;  0,0; 11,0;  2,0; 25,2;0,0;3,9;18,4;65,3;195,6
